audit,2007A,2007B,2007C,2007D,2007E,2008A,2008B,2008C,2008D,2008E,2009A,2009B,2009C,2009D,2009E,2010A,2010B,2010C,2010D,2010E,2011A,2011B,2011C,2011D,2011E,2012A,2012B,2012C,2012D,2012E,2013A,2013B,2013C,2013D,2013E,2014A,2014B,2014C,2014D,2014E,2015A,2015B,2015C,2015D,2015E,2016A,2016B,2016C,2016D,2016E,2017A,2017B,2017C,2017D,2017E
N,1234.23,20.36,10.28,0.85,6.27,736.76,19.72,13.18,0.79,5.87,981.5,19.04,9.93,0.76,4.24,852.75,11.74,11.84,0.66,4,725.25,8.45,20.79,0.68,5.94,1166.46,5.18,31.08,0.58,6.96,797.92,-1.57,48.69,0.45,6.75,521.57,5.49,46.93,0.5,8.42,483.23,5.87,40.75,0.53,7.3,507.17,3.51,31.78,0.46,5.56,246.01,1.5,35.35,0.37,4.96
N,382.53,7.11,23.22,0.59,2.33,393.59,11.77,21.68,0.71,2.66,493.02,10.61,22.08,0.73,2.57,958.22,4.54,13.94,0.64,2.78,274.06,3.21,38.92,0.56,2.88,1171.39,9.51,12.57,0.63,3.01,740.77,11.8,13.66,0.66,2.67,550.67,9.59,12.36,0.53,2.4,332.35,10.01,20.36,0.47,2.54,192.68,7.95,35.94,0.47,2.68,106.49,10.5,46.86,0.49,3
N,306.49,15.57,27.45,0.53,6.56,85.16,-64.93,5765.4,0.44,5.8,83.48,17.26,494.61,0.35,4.71,81.35,2.55,362.51,0.24,3.56,84.45,5.63,172.04,0.34,3.28,88.13,3.73,108.05,0.44,2.52,116.41,8.44,78.19,0.5,2.58,126.39,5.8,61.7,0.52,2.73,129.83,4.5,45.8,0.48,2.49,137.92,7.22,48.45,0.52,2.61,205.53,7.96,27.41,0.55,2.58
N,146.08,3.48,112.28,0.67,4.64,80.24,-19.69,179.81,0.92,7.16,82.4,-11.99,207.15,0.46,3.43,81.37,-32.41,603.39,0.7,3.42,82.14,-6.41,497.83,0.99,3.41,106.25,-2.85,339.14,1.08,3.01,112.71,-19.28,338.04,1.01,2.25,121.9,-3.73,242.69,1.15,2.15,237.33,-2.6,68.25,0.83,2.2,85.94,-8.29,106.34,0.69,2.62,109.96,4.26,48.3,0.79,3.02
N,195.45,12.1,43.13,1.12,11.86,80.9,11.49,64.55,0.96,10.7,82.58,10.6,61.39,0.79,7.55,77.91,5.04,67.31,0.67,5.56,99.75,1.62,67.79,0.62,6.4,94.26,-1.67,66.72,0.5,7.15,123.81,0.34,71.4,0.35,4.71,97.24,-10.71,94.82,0.47,5.35,61.65,-2.35,102.43,0.35,4.46,51.41,-9.22,124.02,0.3,3.88,43.91,-9.69,115.85,0.27,4.02
N,1089.44,-8.66,7.08,0.69,6.55,208.51,-12.68,63.88,0.51,2.37,290.75,-14.39,20.23,0.73,3.79,327.69,1.11,18.84,0.94,5.8,152.07,-24.58,44.49,0.43,2.3,163.26,2.13,40.71,0.7,4.45,708.11,-59.6,146.19,0.4,3.47,310.31,-33.88,44.43,0.18,2.86,774.1,-15.53,11.16,0.17,4.04,317.42,-14.76,38.46,0.45,15.72,556.69,-27.36,25.78,0.21,3.85
N,95.29,4.39,155.96,1.77,5.45,111.42,8.9,108.43,1.63,4.66,96.97,5.42,120.5,1.34,4.12,91.71,18.56,83.97,1.63,6.88,138.95,9.22,56.27,1.13,8.1,270.01,10.07,22.59,0.68,8.64,133.69,1.27,33.53,0.56,11.33,133.73,1.83,36.15,0.95,23.21,209.62,-3.51,40.85,0.61,14.71,198.65,3.33,37.86,0.52,7.03,130.72,3.02,36.38,0.6,7.46
N,157.54,8.08,87.01,0.75,2.49,128.31,-4.66,155.4,0.57,2.04,150.3,7.29,137.8,0.38,2.03,235.69,7.48,59.82,0.44,2.36,223.46,6.84,81.9,0.55,2.83,276.68,3.99,38.68,0.45,2.37,929.24,-2.69,16.04,0.53,2.4,552.28,2.29,17.61,0.56,2.5,612.25,4.34,13.87,0.6,2.66,1199.59,4.78,6.58,0.58,2.69,675.87,-0.37,15.85,0.35,2.57
N,149.74,-16.07,29.44,0.18,3.42,95.08,-18.73,32.68,0.35,11.68,15.66,-140.73,2039.16,0.5,94.04,78.37,-9.1,74.65,1.03,22.67,110.3,-21.2,84.2,0.83,12.39,137.75,0.49,51.55,0.61,7.64,194.57,-73.87,27.3,0.76,6.76,279.52,-22.45,32.21,0.3,3.26,400.01,3.78,28.82,0.55,4.43,74.68,-8.92,84.74,0.43,3.46,88.52,-11.57,55.83,0.26,2.52
N,85.4,-4.64,188.64,0.89,5.65,82.45,-6.91,149.13,0.85,6.03,96.12,9.26,112.73,1.09,8.3,83.38,-2.09,142.71,0.71,6.61,84.71,-2.38,98.6,0.57,6.59,70.02,-1.78,95.75,0.59,7.24,71.83,-0.81,91.93,0.67,8.13,83.75,1.19,79.7,0.72,8.5,92.87,2.49,68.64,0.74,10.32,87.42,0.8,76.48,0.83,12.26,104.13,-1.43,98.34,0.83,7.63
