audit,2011A,2011B,2011C,2011E,2012A,2012B,2012C,2012E,2013A,2013B,2013C,2013E,2014A,2014B,2014C,2014E,2015A,2015B,2015C,2015E,2016A,2016B,2016C,2016E,2017A,2017B,2017C,2017E
N,192.15,9.21,63.4,5.36,216.64,9.35,59.35,5.14,175.37,8.77,87.79,5.78,191.77,6.38,78.4,5.65,191.6,5.46,70.99,6.59,179.66,8.51,87.87,6.51,211.01,9.15,67.74,8.58
N,496.76,3.06,11.38,11.69,632.3,2.61,9.8,10.03,703.45,1.15,9.26,8.85,634.49,0.98,10.14,8.2,725.29,-2.37,9.35,6.17,755.95,-1.1,9.22,6.25,709.77,4.82,8.91,6.55
N,268.04,8.65,35.2,4.39,292.32,4.56,34.97,5.09,258.15,4.93,35.08,7.39,348.57,10.74,25.65,6.6,590.06,5.78,14.05,7.55,806.58,7.98,9.66,8.14,890.27,2.17,7.93,7.69
N,79.35,9.42,40.53,5.31,55.58,-5.17,71.23,5.28,18.92,-35.69,163.84,4.51,18.87,-10.88,163.2,4.35,15.93,-13.87,173.18,4.01,23.33,-0.48,112.31,3.14,6.87,-16.54,133.84,3.8
N,388.16,-6.33,15.56,16.24,484.22,1.15,12.02,17.16,1208.64,-32,8.69,15.55,703.02,-5.22,8.95,12.51,1260.55,7.85,5.02,14.32,949.52,23.05,49.59,14.28,1095.59,1.16,46.85,13.76
N,696.34,5.43,9.59,12.75,858.35,1.38,6.73,11.96,563.78,0.02,10.11,11.72,584.13,-10.94,9.73,10.7,386.99,-7.87,14.82,7.66,279.1,-15.27,17.1,7.87,332.39,2.98,15.24,8.96
N,406.88,3.16,94.81,14.24,145.5,4.52,168.1,25.5,123.19,3.4,203.97,25.9,98.3,3.98,183.36,12.25,81.41,1.82,131.68,9.4,77.92,3.75,161.95,12.59,80.88,1.76,163.75,8.13
N,139.75,4.44,140.78,3.45,155.25,3.01,133.59,2.92,160.22,3.06,128.12,3.33,151.92,-4.94,150.78,3.47,149.91,2.37,113.08,3.38,146.6,2.29,148.67,3.57,176.59,0.89,95.77,3.27
N,186.55,2.83,115.16,6.32,93.56,-40.37,149.3,4.23,135.39,-31.39,140.56,3.92,686.85,-26.16,29.73,1.63,402.73,-78.22,46.11,2.94,735.91,-76.83,13.81,1.38,993.21,-17.01,80.76,2.55
N,68,-5.73,269.89,6.03,53.54,-26.54,2212.08,3.61,102.38,-30.88,1362.71,1.74,74.14,8.82,614.44,3.71,73.72,5.25,296.05,5.08,134.94,-5.49,77.93,2.37,256.38,-3.16,52.96,2.81
